title,subtitle,author,reads,votes,comments,text
My Immortal with Commentary,Chapter 7. Bring me 2 life,VioletKingston,757,42, 182,"No, bring me to life =^_^=AN: wel ok u guyz im only writting dis cuz I got 5 god reviuws.God has nothing to do with this, sweetheart. Also, who gave her good reviews?! Raven?n BTW I wont rite da nxt chapter til I git TIN god vons! STO FLAMING OR ILL REPORT U!I wonder how many thousand people she had to report.Evony isn't a Marie Sue ok she isn't perfect SHES A SATANITS! n she has problemz shes depressed 4 godz sake!She doesn't have problems. She isn't getting into fights with friends, because they just adore her, and if she would, she'd probably not get the blame. She's not getting bullied. No problems at school or with money. And why was she depressed again?XXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXZXXXXXXXXXXXXXDraco and I held our pale white hands with black nail polish as we went upstairs. I was wearing red Satanist sings on my nails in red nail polish (AN: c doez dat sound lik a Maru Sue 2 u?). Yes.I waved to Vampire. Dark misery was in his depressed eyes. I guess he was jealous of me that I was going out with Draco. Anyway, I went upstairs excitedly with Draco. We went into his room and locked the door. Then............No. No. Noooooo!!!We started frenching passivelyBonjour, mon amie! J'aime les croissants! That, ladies and gentlemen, is the only thing I learned after two years of French classes.and we took off each others clothes enthusiastically. He felt me up before I took of my top. Then I took off my black leather braA leather bra? That must hurt a lot.and he took off his pants. We went on the bed and started making out naked and then he put his boy's thingy in mine and we HAD SEX. (c is dat stupid?)Two kids in a sandbox (Do not Google that. If your curiosity gets the best of you, don't say I didn't warn you).""Oh Draco, Draco!"" I screamed while getting an orgasm when all of a sudden I saw a tattoo I had never seen before on Draco's arm. It was a black heart with an arrow through it. On it in bloody gothic writing were the words............ Vampire!So Harry and Draco dated before this?I was so angry.""You bastard!"" I shouted angrily, jumping out of the bed.""No! No! But you don't understand!"" Draco pleaded. But I knew too much.""No, you fucking idiot!"" I shouted. ""You probably have AIDs anyway!""Dumb stereotype about homosexuals.I put on my clothes all huffily and then stomped out. Draco ran out even though he was naked. He had a really big you-know-what but I was too mad to care. I stomped out and did so until I was in Vampire's classroom where he was having a lesson with Professor Snape and some other people.""VAMPIRE POTTER, YOU MOTHERFUCKER!"" I yelled.  VAMPIRE POTTER, YOU DRACOFUCKER!"
My Immortal with Commentary,Chapter 9.,VioletKingston,607,38,98,"AN: stop flaming ok! I dntn red all da boox!With all respect to the people who haven't read the books, NEVER write fanfictions if you haven't read at least some of the books. You just get a way better picture of the character's personalities and just the general world they live in after reading the books. Of course, you can know enough from the movies for the storyline, but it's the small things, like Harry's eye color being different, that just annoy the heck out of me.dis is frum da movie ok so itz nut my folt if dumbeldor swers! besuizds I SED HE HAD A HEDACHE! and da reson snap dosent lik harry now is coz hes christian and vampire is a satanist! MCR ROX!Totally unrelated band reference at the end. And we all know the tale of Dumbledore's headache. And it's ridiculous. A character having a headache isn't an excuse for them to magically have a different personality.XXXXXXXXXXXXXXXXXX666XXXXXXXXXXXI was so mad and sad. I couldn't believe Draco for cheating on me. I began to cry against the tree where I did it with Draco.Newsflash: Maybe he didn't cheat on you! Maybe he just dated Vampire/Harry before you two started dating. Also, when did you ask him to be your boyfriend again?Then all of a suddenly, an horrible man with red eyes and no nose and everything started flying towards me on a broomstick! He didn't have a nose (basically like Voldemort in the movie) and he was wearing all black but it was obvious he wasn't gothic. It was...... Voldemort!No shit Sherlock! Also, people call him He Who Must Not Be Named.""No!"" I shouted in a scared voice but then Voldemort shouted ""Imperius!"" and I couldn't run away.""Crookshanks!"" I shouted at him. Voldemort fell of his broom and started to scream. I felt bad for him even though I'm a sadist so I stopped.It's flippin' Voldemort. You don't leave Voldemort laying around, because he will kill you. And cats are not spells.""Ebony."" he yelled. ""Thou must kill Vampire Potter!""Why is he speaking Shakespearian? Is it called that? And out of everyone, he chose Ebony to kill him. He could do it himself.I thought about Vampire and his sexah eyes and his gothic black hair and how his face looks just like Joel Madden.Who's cheating here?!I remembered that Draco had said I didn't understand, so I thought, what if Draco went out with Vampire before I went out with him and they broke up?Wow, great thinking!""No, Voldemort!"" I shouted back.Voldemort gave me a gun. ""No! Please!"" I begged.A gun. A. Gun. Wow.""Thou must!"" he yelled. ""If thou does not, then I shall kill thy beloved Draco!""So you can't kill Harry, but you can kill Draco?""How did you know?"" I asked in a surprised way.Voldemort got a dude-ur-so-retarded look on his face.That look has been on my face this entire time.""I hath telekinesis."" he answered cruelly. ""And if you doth not kill Vampire, then thou know what will happen to Draco!"" he shouted. Then he flew away angrily on his broomstick.This is starting to be funny, somehow.I was so scared and mad I didn't know what to do.Kill both of them! Kill the OOC Harry and Draco!Suddenly Draco came into the woods.""Draco!"" I said. ""Hi!""""Hi."" he said back but his face was all sad. He was wearing white foundation and messy eyeliner kind of like a pentagram (geddit) between Joel Madden and Gerard Way. ""Are you okay?"" I asked.""No."" he answered.""I'm sorry I got all mad at you but I thought you cheated on me."" I expelled.""That's okay."" he said all depressed and we went back into Hogwarts together making out.And here I was, thinking they were only in it for the sex. Oh wait..."
My Immortal Commentary (Bit late I know),Chapters 7-9 (The joy),FrankieEllor7,7,1,0,"It's been awhile and I don't have an excuse so let's just get things going.Chapter 7. Bring me 2 lifeEdgy title, check ✔AN: wel ok u guyz im only writting dis cuz I got 5 god reviuws. n BTW I wont rite da nxt chapter til I git TIN god vons! STO FLAMING OR ILL REPORT U! Evony isn't a Marie Sue ok she isn't perfect SHES A SATANITS! n she has problemz shes depressed 4 godz sake!Apparently this time Tara needs a review from the Tin God. Also, who's Evony?Draco and I held our pale white hands with black nail polish as we went upstairs. I was wearing red Satanist sings on my nails in red nail polish (AN: c doez dat sound lik a Maru Sue 2 u?). I waved to Vampire. Dark misery was in his depressed eyes. I guess he was jealous of me that I was going out with Draco. Anyway, I went upstairs excitedly with Draco. We went into his room and locked the door. Then…He put his ""thingy"" in your ""you know what""We started frenching passively and we took off each others clothes enthusiastically. He felt me up before I took of my top. Then I took off my black leather bra and he took off his pants. We went on the bed and started making out naked and then he put his boy's thingy in mine and we HAD SEX. (c is dat stupid?)Passive aggressive French kissing. I kinda feel for Enoby here, I mean a leather bra can't be comfy.""Oh Draco, Draco!"" I screamed while getting an orgasm when all of a sudden I saw a tattoo I had never seen before on Draco's arm. It was a black heart with an arrow through it. On it in bloody gothic writing were the words… Vampire!Half way through passive frenching and chill then she sees your tatoo.I was so angry.Not a fan of tattoos? That's not very edgy...""You bastard!"" I shouted angrily, jumping out of the bed.""No! No! But you don't understand!"" Draco pleaded. But I knew too much.""No, you fucking idiot!"" I shouted. ""You probably have AIDs anyway!""If Draco has AIDs then you're pretty screwed.I put on my clothes all huffily and then stomped out. Draco ran out even though he was naked. He had a really big you-know-what but I was too mad to care. I stomped out and did so until I was in Vampire's classroom where he was having a lesson with Professor Snape and some other people.Enoby proving that size doesn't matter""VAMPIRE POTTER, YOU MOTHERFUCKER!"" I yelled.YEAH, FUCK YOU VAMPIRE... Wait, why are we mad at him?Chapter 8.AN: stop flassing ok! if u do den u r a prep!Dental Advice with TaraEveryone in the class stared at me and then Draco came into the room even though he was naked and started begging me to take him back.It's like the Wizzarding world's Jeremy Kyle""Ebony, it's not what you think!"" Draco screamed sadly.My friend B'loody Mary Smith smiled at me understatedly. She flipped her long waste-length gothic black hair and opened her crimson eyes like blood that she was wearing contact lenses on. She had pale white skin that she was wearing white makeup on. Hermione was kidnapped when she was born. Her real parents are vampires and one of them is a witch but Voldemort killed her mother and her father committed suicide because he was depressed about it. She still has nightmares about it and she is very haunted and depressed. It also turns out her real last name is Smith and not Granger. (Since she has converted to Satanism she is in Slytherin now not Griffindoor. )"
My Immortal with Commentary,Chapter 5.,VioletKingston,656,39,68,"AN: STOP flaming! if u flam it menz ur a prep or a posr! Da only reson Dumbledeor swor is coz he had a hedache ok an on tup of dat he wuz mad at dem 4 having sexx! PS im nut updating umtil I get five good revoiws!Me: Mom, you're a *****!Mom: Violet Rose Kingston, go to your room right this instance!Me: What? I just have a headache!Mom: Oh, that changes everything.XXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXXDumbledore made and Draco and I follow him. He kept shouting at us angrily.Did they put their clothes on?""You ludacris fools!"" he shouted.Isn't Ludacris the guy from the Justin Bieber roast?I started to cry tears of blood down my pallid face. Draco comforted me. When we went back to the castle Dumbledore took us to Professor Snape and Professor McGonagall who were both looking very angry.""They were having sexual intercourse in the Forbidden Forest!"" he yelled in a furious voice.""Why did you do such a thing, you mediocre dunces?"" asked Professor McGonagall.Mom, you're a mediocre dunce!""How dare you?"" demanded Professor Snape.I just realized, but what was Dumbledore even doing in the Forbidden Forest in the first place?And then Draco shrieked. ""BECAUSE I LOVE HER!""Everyone was quiet. Dumbledore and Professor McGonagall still looked mad but Professor Snape said. ""Fine. Very well. You may go up to your rooms.""I wish my teachers were this easy with punishments! Draco and I went upstairs while the teachers glared at us.""Are you okay, Ebony?"" Draco asked me gently.""Yeah I guess."" I lied.Why wouldn't you be okay? You got away without detention!I went to the girl's dorm and brushed my teeth and my hair and changed into a low-cut black floor-length dress with red lace all around it and black high heels.Another description of your clothes... I'm not even going to comment on those anymore!When I came out....Draco was standing in front of the bathroom, and he started to sing 'I just wanna live' by Good Charlotte. I was so flattered, even though he wasn't supposed to be there. We hugged and kissed. After that, we said goodnight and he reluctantly went back into his room.  Phew, I almost thought they were gonna have sex again."
"My immortal, the commentary",Chapter 5,Monkee66,15,2,2,"(This is, I think, the last chapter for the day sorry folks, but I don't think my brain can take anymore of this. I hope you're enjoying the story, I use that term loosely, or if not the story, my comments on it. If you do like it, please leave a review. Thank you!) Chapter 5.AN: STOP flaming! if u flam it menz ur a prep or a  posr! Da only reson Dumbledeor swor is coz he had a hedache Wish that would work for me ok an on tup  of dat he wuz mad at dem 4 having sexx! Now that is a good reason for someone to swear PS im nut updating umtil I get  five good revoiws! XXXXXXXXXXXXXXXXXXXXX666 See what she did there? XXXXXXXXXXXXXXXXXXXXDumbledore made and Draco and I follow him. Naked through the halls of Hogwarts  He kept shouting at us angrily.""You ludacris fools!"" he shouted. Dumbledore is now Snape.  I  started to cry tears of blood Is that normal? down my pallid face. No it's 'I started to cry tears of blood.' No need to add 'Down my face' Draco comforted me.  When we went back to the castle Dumbledore took us to Professor Snape  and Professor McGonagall who were both looking very angry.""They were having sexual intercourse in the Forbidden Forest!"" he yelled in a furious voice.""Why did you do such a thing, you mediocre dunces?"" asked Professor McGonagall. Great, now McGonagall is Snape""How dare you?"" demanded Professor Snape. If he demanded it what's with the question mark? And then Draco shrieked. ""BECAUSE I LOVE HER!"" Everyone  was quiet. Dumbledore and Professor McGonagall still looked mad but  Professor Snape said. ""Fine. Very well. You may go up to your rooms."" WHAT! DUDE, they where having SEX in the Forbidden Forest!! But I guess having them walk naked through the castle is punishment enough.  Draco and I went upstairs while the teachers glared at us.""Are you okay, Ebony?"" Draco asked me gently.""Yeah  I guess."" I lied. I went to the girl's dorm and brushed my teeth and my  hair and changed into a low-cut black floor-length dress with red lace  all around it and black high heels. Are you going to a party? I don't know about anyone else, but I'd be going to bed. When I came out.... The suspense is killing me Draco was  standing in front of the bathroom, Boys can't get into the girls dorms.  and he started to sing 'I just wanna  live' by Good Charlotte. I was so flattered, even though he wasn't  supposed to be there. We hugged and kissed. After that, we said  goodnight and he reluctantly went back into his room. And chapter 5 is done. Like I said this is the last chapter of the day. My head hurts now, I'm going to go swear at some people. Till next time.  "
"My immortal, the commentary",Chapter 7,Monkee66,23,1,1," Chapter 7. Bring me 2 life So what makes this chapter special that it gets a chapter name? AN: wel ok u guyz im only writting dis  cuz I got 5 god reviuws. Alright who reviewed? I'll bet they were gofk perps who didn't want the story to end because it was too much fun to laugh at it. n BTW I wont rite da nxt chapter til I git TIN  god vons! What's a God Von?  STO So close to spelling it right FLAMING OR ILL REPORT U! For what?  Evony isn't a Marie Sue ok she  isn't perfect SHES A SATANITS! Err wouldn't a satanist know what never mind n she has problemz shes depressed 4 godz  sake!XXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXZ Z? XXXXXXXXXXXXXDraco  and I held our pale white hands with black nail polish as we went  upstairs. I was wearing NO ONE CARES!!! red Satanist sings Satanist sings? What songs does Satan sing? Ohhhh does he sing 'Highway to Hell'? on my nails in red nail  polish (AN: c doez dat sound lik a Maru Sue 2 u?). Well to me it sounds like you put musical notes on your nails so.... I waved to Vampire.  Dark misery You mean Annie form Stephen Kings novel 'Misery' or something else?  was in his depressed eyes. Nope, guess it's not Annie. You don't need the word depressed if you use the word misery...I don't think. I guess he was jealous of me that  I was going out with Draco. Why would Harry be jealous of some wacko going out with Draco? He's more then likely sorry for him. Anyway, I went upstairs excitedly with  Draco. We went into his room and locked the door. Then............ You made woopie? We  started frenching passively and we took off each others clothes  enthusiastically. He felt me up before I took of my top. Then I took off  my black leather bra That would be comfortable  and he took off his pants. We went on the bed and  started making out naked and then he put his boy's thingy in mine and we  HAD SEX. (c is dat stupid?) Yeah, that's almost as bad as Sam's line is Supernatural 'I'd love to have the sex with you.' ""Oh Draco, Draco!"" I screamed while  getting an orgasm when all of a sudden I saw a tattoo I had never seen  before on Draco's arm. It was a black heart with an arrow through it. On  it in bloody gothic writing How can she spell writing correct here but not in the AN?   were the words............ Vampire!I was so angry. I'd be confused ""You bastard!"" I shouted angrily, jumping out of the bed.""No! No! But you don't understand!"" Draco pleaded. But I knew too much. No sweetie you know nothing, all you know is that he has a tat...that's it. ""No, you fucking idiot!"" I shouted. ""You probably have AIDs anyway!"" That's not something to joke about...go to the corner. I  put on my clothes all huffily and then stomped out. Draco ran out even  though he was naked. He had a really big you-know-what Penis but I was too mad  to care. I stomped out and did so And did so? What did you do? until I was in Vampire's classroom  where he was having a lesson with Professor Snape and some other people. Some other people??? Like who, his fellow classmates, strangers? ""VAMPIRE POTTER, YOU MOTHERFUCKER!"" I yelled. Another good line right there. So that was chapter 7. What did you think of it? I hope you liked reading it. Leave a review telling me what you think. Monkee66"
"My immortal, the commentary",Chapter 1,Monkee66,29,3,3,"(I thought I'd do a commentary on 'My immortal.' My comments will be in bold. Wish me luck. Also, I don't own Harry Potter nor do I own this fic, thank God.) Chapter 1.AN: Special fangz (get it, coz Im goffik) how can she spell special but not goth?  2 my gf (ew  not in that way) raven, bloodytearz666 4 helpin me wif da story and  spelling. U rok! Justin ur da luv of my deprzzing life u rok 2! MCR ROX!XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXHi  my name is Ebony Dark'ness Dementia Raven Way I would say what parent names their kid that but then remember we have stars who name their kids names like Pilot Inspektor. and I have long ebony  black hair (that's how I got my name) You were born with long black hair? Most babies are born bald or have a few wisps of hair.  with purple streaks and red tips  that reaches my mid-back and icy blue eyes like limpid Err someone correct me if I'm wrong but limpid means clear right? tears and a lot  of people tell me I look like Amy Lee (AN: if u don't know who she is  get da hell out of here!). I'm out, see ya I'm not related to Gerard Way but I wish I  was because he's a major fucking hottie. Alrighty then. I'm a vampire but my teeth are  straight and white. I have pale white skin. I'm also a witch, and I go  to a magic school called Hogwarts in England It's in Scotland where I'm in the seventh  year (I'm seventeen). I'm a goth Guess she can spell goth (in case you couldn't tell) and I wear  mostly black. I  wear mostly black, does that mean I'm goth? NO, it's just that black goes with everything. I love Hot Topic and I buy all my clothes from there. I get 'Supernatural' stuff from there.   For  example today I was wearing a black corset with matching lace around it  and a black leather miniskirt, pink fishnets and black combat boots. Does Hot Topic really sell stuff like that? I just go there to get stuff from 'Supernatural' I don't really look at anything else. I  was wearing black lipstick, white foundation, black eyeliner and red eye  shadow. This is Halloween, This is Halloween I was walking outside Hogwarts. It was snowing and raining so  there was no sun, which I was very happy about. A lot of preps stared at  me. I put up my middle finger at them. Well, good morning to you to sweetheart. ""Hey Ebony!"" shouted a voice. I looked up. It was.... Draco Malfoy!""What's up Draco?"" I asked.""Nothing."" he said shyly.But then, I heard my friends call me and I had to go away.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXAN: IS it good? PLZ tell me fangz! I'll be honest, No, it's not. Done with chapter 1. Only a billion more to do.   "
Everything Wrong With My Immortal,Chapter 5,FFSins,33,1,5,"Chapter 5.AN: STOP flaming! if u flam it menz ur a prep or a posr! (Oh really?)Da only reson Dumbledeor swor is coz he had a hedache (I don't swear when I have a headache)ok an on tup of dat he wuz mad at dem 4 having sexx! (Dumbledore should be used to that. They are teenagers with hormones.) PS im nut updating umtil I get five good revoiws!(good luck getting one)XXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXXDumbledore made (What? Cookies?) and Draco and I follow him. He kept shouting at us angrily. (Obviously. He swore at them)""You ludacris fools!"" he shouted. (Isn't that a rapper who collaborated with Justin Bieber?) I started to cry tears of blood down my pallid face. Draco comforted me. When we went back to the castle Dumbledore took us to Professor Snape and Professor McGonagall who were both looking very angry. (Why? Do they know what's happened?)""They were having sexual intercourse in the Forbidden Forest!"" he yelled in a furious voice. (I think the furious was explained when he yelled)""Why did you do such a thing, you mediocre dunces (Amazing insult)?"" asked Professor McGonagall.""How dare you (True. How dare they do a normal teenager thing!)?"" demanded Professor Snape.And then Draco shrieked. ""BECAUSE I LOVE HER!"" (*Facecomputer* Seriously?!)Everyone was quiet. Dumbledore and Professor McGonagall still looked mad but Professor Snape said. ""Fine. Very well. You may go up to your rooms."" (Why is Snape the voice of reason in this? Also, you should've given them detention if you were that scandalized.)Draco and I went upstairs while the teachers glared at us. (OK! The teachers are upset! Stop hitting us over the head with that fact.)""Are you okay, Ebony?"" Draco asked me gently. (No. Oh you weren't talking to me? Damn)""Yeah I guess."" I lied. (Why would you not be? You just got off scot-free!) I went to the girl's dorm and brushed my teeth and my hair and changed into a low-cut black floor-length dress with red lace all around it and black high heels. (Planning on going somewhere, slut?)When I came out....(Three dots! Not four, 3!)Draco was standing in front of the bathroom, and he started to sing 'I just wanna live' by Good Charlotte. (She actually spelled it right!) I was so flattered, even though he wasn't supposed to be there. We hugged and kissed. After that, we said goodnight and he reluctantly went back into his room. (Did she wear that ridiculous dress to bed? What about the MCR shirt?)Sin tally: 95No Fanfic is without sin"
"My immortal, the commentary",Chapter 4,Monkee66,20,2,3,"(Hello. Welcome back to another chapter of 'My Immortal' I'm hoping to get three to four chapters out today, but we'll see how my brain is after the first two. I am no comedian, but I hope you find this funny. Monkee66)  Chapter 4.AN: I sed stup flaming ok ebony's name is ENOBY Umm did you forget your own characters name? How do you do that? nut  mary su OK! DRACO IS SOO IN LUV wif her dat he is acting defrent! Guys, please don't change yourselves for women, unless it's a really bad habit, like drugs or getting drunk or something like that, but then you should change for your own sake and not a women's.  dey nu  eechodder b4 ok! Any guesses on what this is supposed to say? XXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXX""DRACO!"" I shouted. ""What the fuck do you think you are doing?"" He's driving ya idjit.    Draco didn't answer but he stopped the flying car and he walked out of it. I walked out of it too, curiously. The car is hovering in mid-air, and you just walk out of it? Did you fall to the ground? If you did, then you should put that in there. ""What the fucking hell?"" I asked angrily. You don't need to put in angrily, we get that your pissed because of the swear word.""Ebony?"" he asked.""What?"" I snapped. Deep breath. All he did was say your name. I don't even know why you're mad...you just drove into the forest, I mean, yeah it's against school rules, but you already broke two of them by going to a MCR concert at night and violating the schools dress code. Just saying....braking a few more won't hurt.   Draco  leaned in extra-close Creepy.   and I looked into his gothic red eyes (he was  wearing color contacts)  which revealed so much depressing sorrow and  evilness Depressing sorrow and evilness? and then suddenly I didn't feel mad anymore.And  then............... suddenly just as I Draco kissed me passionately. This is when I'd punch him and go running up to the school yelling.   Draco climbed  on top of me and we started to make out keenly against a tree. Climbing on top of someone suggests that they're laying down. Poor tree.  He took  of my top and I took of his clothes. I even took of my bra. Then he put  his thingie Penis into my you-know-what Vagina and we did it Had sex for the first time. If you can't write a decent sex scene, then maybe you shouldn't be putting them in? Or practice writing them first. Just a suggestion. ""Oh!  Oh! Oh! "" I screamed. I was beginning to get an orgasm How can she spell orgasm right but not her main character?. We started to  kiss everywhere and my pale body became all warm Again, because your a vampire, you have no blood, there for YOUR BODY CAN NOT BECOME WARM!!!! . And then....""WHAT THE HELL ARE YOU DOING YOU MOTHERFUKERS!"" Way to spoil the mood. It was.............................................................Dumbledore! But- Dumbledore doesn't swear...So, what did you think? Anything I can change or add more of? Please let me know. Thank you. "
Everything Wrong With My Immortal,Chapter 10,FFSins,32,2,0,"Chapter 10.AN: stup it u gay fags (Redundant much?) if u donot lik ma story den fukk off (God, I wish. But the fanfiction gods are telling me I have to stay)! ps it turnz out b'loody mary isn't a muggle afert al n she n vampire r evil datz y dey movd houses ok! (You already told us that)XXXXXXXXXXXXX666XXXXXXXXXXXXXXXI was really scared about Vlodemort all day. (You weren't while talking with Draco) I was even upset went to rehearsals with my gothic metal band Bloody Gothic Rose 666. (Kill me now. Please!)I am the lead singer of it and I play guitar. (Now you're gonna say you play lead guitar.)People say that we sound like a cross between GC, Slipknot and MCR. (This sounds horrible. No shade on any fans of them) The other people in the band are B'loody Mary, Vampire, Draco, Ron (although we call him Diabolo (PLEASE! Let one person be normal) now. He has black hair now with blue streaks in it. (That doesn't sound particularly dangerous)) and Hargrid. (Is he a gothic pirate?) Only today Draco and Vampire were depressed so they weren't coming and we wrote songs instead. I knew Draco was probably slitting his wrists (You say it so casually) (he wouldn't die because he was a vampire too and the only way you can kill a vampire is with a c-r-o-s-s (there's no way I'm writing that) (You already wrote it!) or a steak (Hahahahaha)) and Vampire was probably watching a depressing movie like The Corpse Bride. (That movie's not depressing.)I put on a black leather shirt that showed off my boobs and tiny matching miniskirt that said Simple Plan on the butt. You might think I'm a slut but I'm really not. (Honey, I think you're a slut. My friends think you're a slut. I called you a slut! You are a slut.)We were singing a cover of 'Helena' and at the end of the song I suddenly bust into tears. (Why?)""Ebony! Are you OK?"" B'loody Mary asked in a concerted voice. (Uh, no.)""What the fuck do you think?"" I asked angrily. And then I said. ""Well, Voldemort came and the fucking bastard told me to fucking kill Harry! But I don't want to kill him, because, he's really nice, even if he did go out with Draco. But if I don't kill Harry, then Voldemort, will fucking kill Draco!"" I burst into tears. (KILL EVERYONE!!!)Suddenly Draco jumped out from behind a wall.(Are there just walls everywhere or did he jump through a door)""Why didn't you fucking tell me!"" he shouted. ""How could you- you- you fucking poser muggle bitch!"" (c is dat out of character?)(No, surprisingly. Sin for not writing him in character more)I started to cry and cry. Draco started to cry too all sensitive. Then he ran out crying.We practiced for one more hour. Then suddenly Dumbeldore walked in angrily! His eyes were all fiery and I knew this time it wasn't cause he had a headache.""What have you done!"" He started to cry wisely. (He was just angry!) (c dats basically nut swering and dis time he wuz relly upset n u wil c y) ""Ebony Draco has been found in his room. He committed suicide by slitting his wrists."" (I do not condone suicide, ever, but...yay, Draco's dead! Also, you said he couldn't die like that!)Thx to my friend Eliza for the help! Go follow @wedreamadream, that's hers and a couple other friends' account.Sin Tally: 196No fanfic is without sin!"
My Immortal with Commentary,Chapter 10.,VioletKingston,597,43,108,"Chapter ten! A milestone! The song above and the picture of my cat yawning are my attempts at restoring your sanity. You're welcome!AN: stup it u gay fagsBe proud of being gay! You're awesome! Also, kinda hypocritical, uh? I mean, Draco and Harry dated in your book.if u donot lik ma story den fukk off!Can't baby.ps it turnz out b'loody mary isn't a muggle afert al n she n vampire r evil datz y dey movd houses ok!Seems legit.XXXXXXXXXXXXX666XXXXXXXXXXXXXXXI was really scared about Vlodemort all day. I was even upset went to rehearsals with my gothic metal band Bloody Gothic Rose 666.So she's amazingly talented at music, too. More Mary Sue points for you!I am the lead singer of it and I play guitar. People say that we sound like a cross between GC, Slipknot and MCR. The other people in the band are B'loody Mary, Vampire, Draco, Ron (although we call him Diabolo now. He has black hair now with blue streaks in it.)And now the entire Golden Trio is ruined!and Hargrid.Since when is he a student?Only today Draco and Vampire were depressed so they weren't coming and we wrote songs instead.But you're ALL depressed. When can the band ever practice when all of its members are constantly absent?I knew Draco was probably slitting his wrists (he wouldn't die because he was a vampire too and the only way you can kill a vampire is with a c-r-o-s-s (there's no way I'm writing that)But you just said that you sound like a cross between GC, Slipknot and MCR.or a steak)The only time my vegan friend felt the urge to kill a cow.and Vampire was probably watching a depressing movie like The Corpse Bride. I put on a black leather shirt that showed off my boobs and tiny matching miniskirt that said Simple Plan on the butt. You might think I'm a slut but I'm really not.Luckily for you I hate slut shaming.We were singing a cover of 'Helena' and at the end of the song I suddenly bust into tears.""Ebony! Are you OK?"" B'loody Mary asked in a concerted voice.Does that mean she's saying it like she's singing or something?""What the fuck do you think?"" I asked angrily. And then I said. ""Well, Voldemort came and the fucking bastard told me to fucking kill Harry! But I don't want to kill him, because, he's really nice, even if he did go out with Draco. But if I don't kill Harry, then Voldemort, will fucking kill Draco!"" I burst into tears. Suddenly Draco jumped out from behind a wall.Surprise, motherfucker!""Why didn't you fucking tell me!"" he shouted. ""How could you- you- you fucking poser muggle bitch!"" (c is dat out of character?)Yes, very much. Will someone please inform his father about this now?I started to cry and cry. Draco started to cry too all sensitive. Then he ran out crying.We practiced for one more hour. Then suddenly Dumbeldore walked in angrily! His eyes were all fiery and I knew this time it wasn't cause he had a headache.Omg I'm flippin' dying.""What have you done!"" He started to cry wisely.How does one cry wisely?One does not simply cry wisely.(c dats basically nut swering and dis time he wuz relly upset n u wil c y) ""Ebony Draco has been found in his room. He committed suicide by slitting his wrists.""  Yay! Out of character Draco is dead!"
Everything Wrong With My Immortal,Chapter 8,FFSins,25,2,0,"Chapter 8.AN: stop flassing (Flassing?) ok! if u do den u r a prep!XXXXXXXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXEveryone in the class stared at me and then Draco came into the room even though he was naked (Put some clothes on!) and started begging me to take him back.""Ebony, it's not what you think!"" Draco screamed sadly.My friend B'loody Mary Smith smiled at me understatedly. (How do you smile understated?) She flipped her long waste-length gothic black hair and opened her crimson eyes like blood (She flipped her hair and then opened her eyes? Also, of course, she had red eyes) that she was wearing contact lenses on. She had pale white skin that she was wearing white makeup on. Hermione was kidnapped when she was born. Her real parents are vampires and one of them is a witch but Voldemort killed her mother and her father committed suicide because he was depressed about it. She still has nightmares about it and she is very haunted and depressed. It also turns out her real last name is Smith and not Granger. (Since she has converted to Satanism she is in Slytherin now not Griffindoor. ) (how manytimes do I have to say of course?!)""What is it that you desire, you ridiculous dimwit!"" (Perfect insult) Snape demeaned angrily in his cold voice but I ignored him.""Vampire, I can't believe you cheated on me with Draco!"" I shouted at him. (I can, but it was probably before you.)Everyone gasped. (No one would care.)I don't know why Ebony was so mad at me. (AH! Sudden POV shift!) I had went out with Vampire (I'm bi and so is Ebony) for a while but then he broke my heart. He dumped me because he liked Britney, a stupid preppy fucker. (Is Britney the only prep in the school? And also, didn't he date Ginny? Who, I'm pretty sure is going to turn Gothic) We were just good friends now. He had gone through horrible problems, and now he was gothic. (Haha, like I would hang out with a prep.)""But I'm not going out with Draco anymore!"" said Vampire. (See!?)""Yeah fucking right! Fuck off, you bastard!"" I screamed. I ran out of the room and into the Forbidden Forest where I had lost my virility (Virility:(in a man) the quality of having strength, energy, and a strong sex drive; manliness. Did you really lose your virility?)to Draco and then I started to bust into tears. (Bursting into tears is sudden. You don't start to burst into tears.)Sin Counter: 158No fanfic is without sin"
